,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
246,219.8,4,0,3.5,0,0,0,0,1,0,0,0
247,194.6,2,0,2.0,0,0,0,0,1,0,0,0
248,196.3,3,0,2.9,0,0,0,0,1,0,0,0
249,228.0,1,0,0.5,0,0,0,0,1,0,0,0
250,176.0,3,0,3.9,0,0,1,0,0,0,0,0
251,147.0,5,0,6.7,1,0,1,0,0,0,0,0
252,227.9,1,0,2.5,0,0,0,0,1,0,0,0
253,199.1,2,0,0.5,0,0,0,1,0,0,0,0
254,188.2,4,0,3.8,1,0,0,0,0,1,0,0
255,254.9,1,0,2.8,1,0,0,0,1,0,0,0
256,208.4,5,0,2.8,1,0,0,0,1,0,0,0
257,196.5,5,0,5.8,1,1,0,0,1,0,0,0
258,204.4,3,0,2.2,0,0,0,0,1,0,0,0
259,253.3,1,0,0.7,1,0,0,1,0,0,0,0
260,182.1,3,0,3.4,0,0,1,0,0,0,0,0
261,264.4,1,0,1.5,1,0,0,0,1,0,0,0
262,194.3,3,0,3.0,0,0,0,0,1,0,0,0
263,151.7,3,0,5.6,0,0,0,0,0,1,0,0
264,167.9,3,0,3.3,0,0,0,0,0,1,0,0
265,222.5,4,0,2.8,1,0,0,0,1,0,0,0
266,176.5,3,0,6.2,1,0,0,0,0,1,0,0
267,205.3,4,0,4.7,1,0,0,0,1,0,0,0
268,191.1,5,0,2.6,1,0,1,0,0,0,0,0
269,197.3,5,0,4.8,1,0,0,0,1,0,0,0
270,176.0,3,0,1.6,0,0,0,0,0,1,0,0
271,197.5,3,0,4.4,0,0,0,0,1,0,0,0
272,174.7,4,0,3.8,0,0,1,0,0,0,0,0
273,190.1,3,0,0.9,0,0,1,0,0,0,0,0
274,204.6,5,0,4.2,1,0,0,0,1,0,0,0
275,191.8,5,0,6.1,1,0,0,0,1,0,0,0
276,208.8,2,0,2.3,1,0,0,0,0,1,0,0
277,208.3,4,0,4.4,1,0,0,0,1,0,0,0
278,173.5,4,0,1.6,0,0,1,0,0,0,0,0
279,198.9,4,0,1.6,0,0,0,0,1,0,0,0
280,218.6,5,0,1.0,1,0,0,0,1,0,0,0
281,212.3,2,0,1.9,0,0,0,0,1,0,0,0
282,197.3,3,0,4.2,1,0,1,0,0,0,0,0
283,266.6,1,0,1.3,1,0,0,0,1,0,0,0
284,204.6,2,0,0.2,0,0,0,1,0,0,0,0
285,232.8,1,0,0.5,0,0,0,0,1,0,0,0
286,194.6,3,0,4.1,0,0,0,0,1,0,0,0
287,198.1,4,0,6.5,1,0,0,0,1,0,0,0
288,194.0,3,0,5.0,1,0,1,0,0,0,0,0
289,190.3,5,0,2.5,0,0,0,0,1,0,0,0
290,218.5,4,0,3.5,1,0,0,0,1,0,0,0
291,178.5,3,0,9.8,1,0,0,0,1,0,0,0
292,217.4,3,0,2.2,0,0,0,0,1,0,0,0
